"Date","Open","High","Low","Close","Volume"
"2024-11-20",311.8599853515625,312.25,306.25,307.3900146484375,2863885
"2024-11-19",310,312.20001220703125,308.5400085449219,311.8500061035156,1495933
"2024-11-18",309.4800109863281,312.3999938964844,308.70001220703125,312.1600036621094,1440746
"2024-11-15",307.55999755859375,310.69500732421875,306.9800109863281,309.6400146484375,1898890
"2024-11-14",309.29998779296875,311.25,307.8599853515625,308.25,1530223
"2024-11-13",309.489990234375,310.9200134277344,307.8699951171875,309.4800109863281,1345230
"2024-11-12",309.0400085449219,310.5,308.1199951171875,309.8500061035156,1483175
"2024-11-11",310.0899963378906,312.44000244140625,309.5,310.9200134277344,1180025
"2024-11-08",306.8900146484375,311.1099853515625,305.739990234375,307.8699951171875,1697992
"2024-11-07",307.5,307.54998779296875,304.5400085449219,305.79998779296875,2535664
"2024-11-06",306.32000732421875,308.989990234375,303.05999755859375,307.3999938964844,2438539
"2024-11-05",291.7099914550781,294.739990234375,291.6600036621094,293.2900085449219,1125260
"2024-11-04",291.54998779296875,293.07000732421875,290.760009765625,291.8500061035156,1573352
"2024-11-01",288.489990234375,292.6700134277344,287.2699890136719,290.739990234375,1406762
"2024-10-31",292.0899963378906,296.2799987792969,289.6700134277344,289.8500061035156,2405566
"2024-10-30",292.5,295.739990234375,288.7099914550781,290.1600036621094,1841145
"2024-10-29",284.2699890136719,285.67999267578125,281.3500061035156,281.8800048828125,2077928
"2024-10-28",282.0400085449219,284.6400146484375,281.6400146484375,284.19000244140625,1445303
"2024-10-25",284.20001220703125,285,280.79998779296875,281.7300109863281,1301050
"2024-10-24",282.3900146484375,283.55999755859375,281.79998779296875,283.2200012207031,1818104
"2024-10-23",286.0400085449219,286.0450134277344,283.5299987792969,283.760009765625,1738473
"2024-10-22",284.19000244140625,286.4800109863281,283.75,284.7900085449219,1872346
"2024-10-21",289.6099853515625,290.2200012207031,286.3299865722656,286.8500061035156,2512344
"2024-10-18",290,291.010009765625,288.1000061035156,290.6199951171875,2069608
"2024-10-17",288.57000732421875,290.92999267578125,287.6700134277344,290.3900146484375,3272035
"2024-10-16",278.6199951171875,287.6000061035156,278.6199951171875,287.5199890136719,3239334
"2024-10-15",281,282.6300048828125,278.8399963378906,279.2900085449219,1546684
"2024-10-14",279.0799865722656,281.32000732421875,277.989990234375,280.67999267578125,1442606
"2024-10-11",276.3699951171875,278.79998779296875,275.5,277.8399963378906,1414215
"2024-10-10",276.7799987792969,277.6700134277344,275.3500061035156,277.4700012207031,1119659
"2024-10-09",275.30999755859375,277.4800109863281,274.4750061035156,276.92999267578125,1274029
"2024-10-08",274.010009765625,276.05499267578125,274.010009765625,274.9599914550781,1337350
"2024-10-07",277.6000061035156,277.6000061035156,273.2900085449219,273.7900085449219,1246548
"2024-10-04",277.3500061035156,278.32000732421875,275.1000061035156,277.92999267578125,1084665
"2024-10-03",276.6700134277344,277.6600036621094,275.8399963378906,276.8599853515625,933208
"2024-10-02",276.57000732421875,277.6000061035156,275.3699951171875,277,1111733
"2024-10-01",276.9700012207031,279.04998779296875,274.3999938964844,277.6000061035156,1683564
"2024-09-30",275,275.5899963378906,273.239990234375,274.95001220703125,2132519
"2024-09-27",272.9100036621094,277.95001220703125,272.7799987792969,275.1700134277344,1688382
"2024-09-26",270.5,273.2200012207031,270.5,271.69000244140625,3762062
"2024-09-25",274,274.17999267578125,268.239990234375,269.6300048828125,2434728
"2024-09-24",280,281,272.7300109863281,272.7799987792969,4215905
"2024-09-23",284.8999938964844,288.8800048828125,284.6499938964844,288.6300048828125,2590224
"2024-09-20",285.5,287,283.2699890136719,284.7699890136719,16559719
"2024-09-19",291.0899963378906,291.3699951171875,282.8999938964844,285.239990234375,4266229
"2024-09-18",291.8399963378906,292,288.2300109863281,288.4800109863281,2313755
"2024-09-17",290.8999938964844,293.07000732421875,290.25,291.55999755859375,1712591
"2024-09-16",288.04998779296875,290.7900085449219,287.8949890136719,290.4800109863281,1686985
"2024-09-13",286.489990234375,288.6600036621094,285.54998779296875,287.3500061035156,1731872
"2024-09-12",283.45001220703125,286,281.4800109863281,285.3699951171875,1697611
"2024-09-11",285.0199890136719,285.0199890136719,278.3299865722656,283.9599914550781,2299257
"2024-09-10",285.92999267578125,286.2300109863281,283.57000732421875,285.3399963378906,1883752
"2024-09-09",282.0899963378906,286.9700012207031,281.75,285.6099853515625,4395916
